Cobertura;name;Punto_ID;Nombre;Municipio;Departamento;Latitud;Longitud;Elevación;Fecha replica 1;Fecha replica 2;Forest OK
Bosque;Borde de bosque;CAL_ALC08;;;Caldas;5.557096;-75.5367053;1078;2020;;
Pino;Pino y bosque nativo;CAL_CEM03;;;Caldas;5.158546;-75.497545;2190;2020;;
Pino;Pino y bosque nativo;CAL_CEM05;;;Caldas;5.563359;-75.5007661;1369;2020;;
Cerca viva ;Cerca viva ;CAL_CEM06;;;Caldas;5.541291;-75.5013309;2100;2020;;
Pino;Bosque secundario ;CAL_CEM08;;;Caldas;5.502548;-75.5032055;1853;2020;;
Bosque;Bosque secundario ;CAL_CEM10;;;Caldas;5.528263;-75.5069889;1998;2020;;
Cerca viva ;Cerca viva ;CAL_DES08;;;Caldas;5.183318;-75.5405452;1568;2020;;
Bosque;Fragmento bosque ;CAL_DES12;;;Caldas;5.179643;-75.5232023;1760;2020;;
Café;Sistemas agroforestale;CAL_DES14;;;Caldas;5.369118;-75.4948705;1587;2020;;
Bosque;Borde de bosque;CAL_LLA01;;;Caldas;5.195503;-75.5193584;1715;2020;;
Bosque;Borde de bosque;CAL_LLA02;;;Caldas;5.174426;-75.5188681;1808;2020;;
Café;Borde de bosque;CAL_LLA03;;;Caldas;5.148763;-75.5187955;1981;2020;;
Café;Cerca viva ;CAL_LLA04;;;Caldas;5.150553;-75.5206727;1999;2020;;
Café;Café;CAL_LLA05;;;Caldas;5.171489;-75.5208694;1925;2020;;
Bosque;Borde de bosque;CAL_LLA06;;;Caldas;5.198174;-75.5223585;1550;2020;;
Bosque;Bosque ripario;CAL_LLA07;;;Caldas;5.193098;-75.5247439;1751;2020;;
Café;Sistemas agroforestale;CAL_LLA08;;;Caldas;5.195691;-75.5271271;1553;2020;;
Bosque;Borde de bosque;CAL_LLA09;;;Caldas;5.177479;-75.5288188;1772;2020;;
Cerca viva ;Cerca viva ;CAL_LLA10;;;Caldas;5.152813;-75.5310091;1812;2020;;
Bosque;Borde de bosque;CAL_LLA11;;;Caldas;5.135086;-75.532222;1720;2020;;
Bosque;Bosque ripario;CAL_LLA12;;;Caldas;5.087267;-75.5317075;1950;2020;;
Bosque;Borde de bosque;CAL_SOL08;;;Caldas;4.946451;-75.5478768;2034;2020;;
Cerca viva ;Cerca viva ;CAL_SOL09;;;Caldas;4.976717;-75.5479286;1675;2020;;
Café;Sistemas agroforestale;CAL_SOL10;;;Caldas;4.964852;-75.5493883;1955;2020;;
Bosque;Fragmento bosque ;CAL_SOL11;;;Caldas;4.964295;-75.5510087;2000;2020;;
Bosque;Bosque ripario;CAL_SOL12;;;Caldas;4.949933;-75.5570131;1850;2020;;
Café;Sistemas agroforestale;CAL_VEN01;;;Caldas;5.525589;-75.5634941;1000;2020;;
Bosque;Bosque ripario;CAL_VEN09;;;Caldas;5.327948;-75.5676469;1157;2020;;
Café;Sistemas agroforestale;CAL_VEN12;;;Caldas;5.338291;-75.5650437;1286;2020;;
Café;Café;CAL01;;;Caldas;5.197417;-75.13121;1498;2020;;
Café;Café;CAL02;;Manzanare;Caldas;5.246001;-75.155585;1832;;;
Bosque;Bosque premontano;Caq01;;Via al Huila;Caquetá;1.737419444;-75.73284167;1890;;;
Bosque;Piedemonte;Caq02;;Caraño, Florencia;Caquetá;1.734305556;-75.69226111;1386;;;
Bosque;Bosque Denso;Cas01;;Recetor;Casanare;5.315871;-72.771702;1684;;;
Bosque;Mature_forest;0TQ3;;;Cauca;4.72784;-75.57471;1896;;;
Vegetación secundaria;Secondary_Growth;AGB01;;;Cauca;5.19053;-75.96388;1886;;;
Bosque;Mature_forest;AGB02;;;Cauca;5.19091;-75.9644;1904;;;
Bosque;Mature_forest;AGB10;;;Cauca;5.1966;-75.96384;2107;;;
Bosque;Mature_forest;AGB11;;;Cauca;5.19719;-75.9632;2113;;;
Vegetación secundaria;Secondary_Growth;AGB12;;;Cauca;5.19802;-75.96261;2132;;;
Vegetación secundaria;Secondary_Growth;AGB13;;;Cauca;5.19865;-75.96208;2144;;;
Bosque;Mature_forest;AGB14;;;Cauca;5.19912;-75.9614;2152;;;
Bosque;Mature_forest;AGB15;;;Cauca;5.19941;-75.96028;2166;;;
Bosque;Mature_forest;AGB16;;;Cauca;5.19974;-75.95918;2157;;;
Bosque;Mature_forest;AGB17;;;Cauca;5.20003;-75.95803;2173;;;
Bosque;Mature_forest;AGB18;;;Cauca;5.20029;-75.9571;2201;;;
Bosque;Mature_forest;AGB20;;;Cauca;5.2004;-75.96078;2125;;;
Bosque;Mature_forest;AGB21;;;Cauca;5.20029;-75.95998;2105;;;
Bosque;Mature_forest;AGB22;;;Cauca;5.201045;-75.95988;2092;;;
Bosque;Mature_forest;AGB23;;;Cauca;5.20105;-75.95985;2096;;;
Bosque;Mature_forest;AGB24;;;Cauca;5.20169;-75.95966;2070;;;
Bosque;Mature_forest;AGB25;;;Cauca;5.20312;-75.95979;2060;;;
Bosque;Mature_forest;AGB26;;;Cauca;5.20382;-75.96024;2064;;;
Bosque;Mature_forest;AGB27;;;Cauca;5.20459;-75.95957;2028;;;
Bosque;Mature_forest;AGB28;;;Cauca;5.2043;-75.95984;2061;;;
Vegetación secundaria;Secondary_Growth;AGB3;;;Cauca;5.19134;-75.96493;1929;;;
Vegetación secundaria;Secondary_Growth;AGB4;;;Cauca;5.19164;-75.96551;1980;;;
Vegetación secundaria;Secondary_Growth;AGB5;;;Cauca;5.19304;-75.96501;1999;;;
Bosque;Mature_forest;AGB6;;;Cauca;5.19387;-75.96527;2024;;;
Vegetación secundaria;Secondary_Growth;AGB7;;;Cauca;5.1946;-75.96507;2046;;;
Bosque;Mature_forest;AGB8;;;Cauca;5.19527;-75.96477;2068;;;
Bosque;Mature_forest;AGB9;;;Cauca;5.19582;-75.9642;2094;;;
Vegetación secundaria;Secondary_Growth;AGL1;;;Cauca;5.11373;-75.93153;1814;;;
Vegetación secundaria;Secondary_Growth;AGL10;;;Cauca;5.11436;-75.93373;1933;;;
Vegetación secundaria;Secondary_Growth;AGL11;;;Cauca;5.114517;-75.93309;1946;;;
Vegetación secundaria;Secondary_Growth;AGL12;;;Cauca;5.1147;-75.93213;1965;;;
Vegetación secundaria;Secondary_Growth;AGL13;;;Cauca;5.1147;-75.93141;1991;;;
Bosque;Mature_forest;AGL14;;;Cauca;5.11532;-75.93105;1995;;;
Bosque;Mature_forest;AGL15;;;Cauca;5.11583;-75.93195;1981;;;
Bosque;Mature_forest;AGL16;;;Cauca;5.11652;-75.93211;1962;;;
Bosque;Mature_forest;AGL17;;;Cauca;5.11686;-75.93232;1964;;;
Vegetación secundaria;Secondary_Growth;AGL18;;;Cauca;5.11736;-75.93263;2002;;;
Vegetación secundaria;Secondary_Growth;AGL19;;;Cauca;5.11777;-75.93204;2017;;;
Vegetación secundaria;Secondary_Growth;AGL2;;;Cauca;5.1132;-75.93693;1838;;;
Bosque;Mature_forest;AGL20;;;Cauca;5.11817;-75.93142;2018;;;
Vegetación secundaria;Secondary_Growth;AGL21;;;Cauca;5.1185;-75.93082;2038;;;
Bosque;Mature_forest;AGL22;;;Cauca;5.11857;-75.93022;2065;;;
Bosque;Mature_forest;AGL23;;;Cauca;5.11881;-75.92984;2088;;;
Bosque;Mature_forest;AGL24;;;Cauca;5.11911;-75.930113;2083;;;
Bosque;Mature_forest;AGL25;;;Cauca;5.11959;-75.93048;2083;;;
Vegetación secundaria;Secondary_Growth;AGL26;;;Cauca;5.12027;-75.93106;2085;;;
Bosque;Mature_forest;AGL27;;;Cauca;5.12083;-75.93057;2089;;;
Bosque;Mature_forest;AGL28;;;Cauca;5.12129;-75.93071;2096;;;
Vegetación secundaria;Secondary_Growth;AGL29;;;Cauca;5.12149;-75.93107;2109;;;
Vegetación secundaria;Secondary_Growth;AGL3;;;Cauca;5.11293;-75.93619;1870;;;
Vegetación secundaria;Secondary_Growth;AGL30;;;Cauca;5.12216;-75.93156;2093;;;
Vegetación secundaria;Secondary_Growth;AGL31;;;Cauca;5.12292;-75.9314;2081;;;
Bosque;Mature_forest;AGL32;;;Cauca;5.12292;-75.93093;2095;;;
Vegetación secundaria;Secondary_Growth;AGL4;;;Cauca;5.11272;-75.935545;1856;;;
Vegetación secundaria;Secondary_Growth;AGL5;;;Cauca;5.11303;-75.935;1897;;;
Bosque;Mature_forest;AGL6;;;Cauca;5.11278;-75.93416;1893;;;
Vegetación secundaria;Secondary_Growth;AGL7;;;Cauca;5.11331;-75.93375;1915;;;
Vegetación secundaria;Secondary_Growth;AGL8;;;Cauca;5.11384;-75.93427;1900;;;
Vegetación secundaria;Secondary_Growth;AGL9;;;Cauca;5.11425;-75.93436;1916;;;
Café;Shade_coffee;AN1;;;Cauca;5.67468;-75.88894;1500;;;
Café;Shade_coffee;AN2;;;Cauca;5.67821;-75.89582;1500;;;
Café;Shade_coffee;AN3;;;Cauca;5.67945;-75.89624;1500;;;
Café;Shade_coffee;AN4;;;Cauca;5.68474;-75.89222;1460;;;
Bosque;Forest_fragment/Riparian_strip;AN5;;;Cauca;5.68906;-75.89117;1470;;;
Bosque;Forest_edge;BE1;;;Cauca;5.76051;-75.96241;1315;;;
Bosque;Mature_forest;CHI1;;;Cauca;3.5681;-76.5867;1941;;;
Vegetación secundaria;Secondary_Growth;CHI10;;;Cauca;3.56514;-76.58527;2004;;;
Vegetación secundaria;Secondary_Growth;CHI11;;;Cauca;3.5647;-76.58543;2005;;;
Bosque;Mature_forest;CHI12;;;Cauca;3.56423;-76.58517;2018;;;
Bosque;Mature_forest;CHI13;;;Cauca;3.56701;-76.5844;2011;;;
Bosque;Mature_forest;CHI14;;;Cauca;3.56398;-76.5851;2023;;;
Bosque;Mature_forest;CHI15;;;Cauca;3.56831;-76.58383;2025;;;
Bosque;Mature_forest;CHI16;;;Cauca;3.5662;-76.5847;2010;;;
Bosque;Mature_forest;CHI17;;;Cauca;3.56837;-76.57696;2044;;;
Bosque;Mature_forest;CHI18;;;Cauca;3.56809;-76.57654;2029;;;
Bosque;Mature_forest;CHI19;;;Cauca;3.56843;-76.57586;2011;;;
Bosque;Mature_forest;CHI2;;;Cauca;3.56652;-76.58451;2011;;;
Bosque;Mature_forest;CHI20;;;Cauca;3.56804;-76.57719;2047;;;
Bosque;Mature_forest;CHI21;;;Cauca;3.56765;-76.57674;2030;;;
Vegetación secundaria;Secondary_Growth;CHI22;;;Cauca;3.56778;-76.5783;2068;;;
Bosque;Mature_forest;CHI23;;;Cauca;3.56739;-76.57922;2084;;;
Bosque;Mature_forest;CHI24;;;Cauca;3.56894;-76.57681;2045;;;
Bosque;Mature_forest;CHI25;;;Cauca;3.56864;-76.57609;2035;;;
Bosque;Mature_forest;CHI26;;;Cauca;3.5692;-76.57789;2047;;;
Bosque;Mature_forest;CHI27;;;Cauca;3.56881;-76.57871;2044;;;
Bosque;Mature_forest;CHI28;;;Cauca;3.56957;-76.57948;2057;;;
Bosque;Mature_forest;CHI29;;;Cauca;3.57041;-76.5804;2062;;;
Bosque;Mature_forest;CHI30;;;Cauca;3.57122;-76.58169;2055;;;
Bosque;Mature_forest;CHI31;;;Cauca;3.57061;-76.58212;2058;;;
Bosque;Mature_forest;CHI32;;;Cauca;3.56957;-76.58263;2049;;;
Bosque;Mature_forest;CHI33;;;Cauca;3.56853;-76.58314;2042;;;
Vegetación secundaria;Secondary_Growth;CHI34;;;Cauca;3.56755;-76.58392;2034;;;
Bosque;Mature_forest;CHI35;;;Cauca;3.56635;-76.58376;2032;;;
Bosque;Mature_forest;CHI36;;;Cauca;3.56616;-76.58467;2025;;;
Bosque;Mature_forest;CHI37;;;Cauca;3.56612;-76.58491;2018;;;
Bosque;Mature_forest;CHI38;;;Cauca;3.5668;-76.58538;1984;;;
Vegetación secundaria;Secondary_Growth;CHI39;;;Cauca;3.56568;-76.58552;2000;;;
Bosque;Mature_forest;CHI4;;;Cauca;3.57055;-76.58091;2063;;;
Vegetación secundaria;Secondary_Growth;CHI40;;;Cauca;3.56525;-76.58575;2011;;;
Bosque;Mature_forest;CHI5;;;Cauca;3.57046;-76.58104;2068;;;
Bosque;Mature_forest;CHI6;;;Cauca;3.56911;-76.57921;2058;;;
Bosque;Mature_forest;CHI7;;;Cauca;3.56869;-76.57908;2068;;;
Bosque;Mature_forest;CHI8;;;Cauca;3.5681;-76.57764;2057;;;
Vegetación secundaria;Secondary_Growth;CHI9;;;Cauca;3.56558;-76.5852;2002;;;
Bosque;Forest_fragment/Riparian_strip;CR1;;;Cauca;5.76865;-75.94715;1470;;;
Bosque;Mature_forest;E1;;;Cauca;5.61647;-75.83978;2010;;;
Bosque;Mature_forest;E2;;;Cauca;5.61629;-75.8403;2010;;;
Bosque;Mature_forest;E3;;;Cauca;5.61664;-75.83945;2030;;;
Bosque;Mature_forest;E4;;;Cauca;5.61762;-75.83691;2080;;;
Bosque;Mature_forest;E5;;;Cauca;5.61701;-75.83741;2100;;;
Bosque;Mature_forest;E6;;;Cauca;5.61657;-75.83786;2130;;;
Bosque;Mature_forest;E7;;;Cauca;5.6159;-75.83826;2130;;;
Bosque;Mature_forest;E8;;;Cauca;5.61526;-75.83022;2150;;;
Bosque;Mature_forest;E9;;;Cauca;5.61598;-75.83822;2145;;;
Vegetación secundaria;Secondary_Growth;J10;;;Cauca;5.60478;-75.81371;1800;;;
Café;Shade_coffee;J8;;;Cauca;5.59662;-75.8221;1710;;;
Café;Shade_coffee;J9;;;Cauca;5.59717;-75.82249;1720;;;
Café;Shade_coffee;M1;;;Cauca;5.60109;-75.85701;1630;;;
Café;Shade_coffee;M2;;;Cauca;5.60064;-75.85611;1620;;;
Café;Shade_coffee;M3;;;Cauca;5.6011;-75.85536;1610;;;
Café;Shade_coffee;M4;;;Cauca;5.59974;-75.85526;1615;;;
Café;Shade_coffee;M5;;;Cauca;5.59887;-75.85564;1590;;;
Café;Shade_coffee;M6;;;Cauca;5.59772;-75.85587;1585;;;
Café;Shade_coffee;M7;;;Cauca;5.59767;-75.8548;1555;;;
Café;Shade_coffee;M8;;;Cauca;5.5978;-75.85691;1615;;;
Café;Shade_coffee;M9;;;Cauca;5.5978;-75.85691;1615;;;
Café;Shade_coffee;MO1;;;Cauca;5.60311;-75.85216;1682;;;
Café;Shade_coffee;MO2;;;Cauca;5.60344;-75.8525;1699;;;
Café;Shade_coffee;MO3;;;Cauca;5.6037;-75.85186;1708;;;
Café;Shade_coffee;MO4;;;Cauca;5.6042;-75.85133;1730;;;
Bosque;Mature_forest;OTQ1;;;Cauca;4.72877;-75.57667;1908;;;
Bosque;Mature_forest;OTQ10;;;Cauca;4.72303;-75.56691;1945;;;
Bosque;Mature_forest;OTQ11;;;Cauca;4.72229;-75.56585;1939;;;
Vegetación secundaria;Secondary_Growth;OTQ12;;;Cauca;4.72092;-75.56538;1972;;;
Vegetación secundaria;Secondary_Growth;OTQ13;;;Cauca;4.71982;-75.56504;1962;;;
Bosque;Mature_forest;OTQ14;;;Cauca;4.71921;-75.564;1958;;;
Bosque;Mature_forest;OTQ15;;;Cauca;4.71821;-75.56332;1960;;;
Bosque;Mature_forest;OTQ16;;;Cauca;4.71753;-75.56239;1997;;;
Bosque;Mature_forest;OTQ17;;;Cauca;4.71679;-75.56129;1994;;;
Bosque;Mature_forest;OTQ18;;;Cauca;4.7158;-75.55988;1986;;;
Bosque;Mature_forest;OTQ19;;;Cauca;4.7152;-75.55877;1999;;;
Bosque;Mature_forest;OTQ2;;;Cauca;4.72825;-75.57578;1888;;;
Bosque;Mature_forest;OTQ20;;;Cauca;4.71463;-75.5576;2002;;;
Bosque;Mature_forest;OTQ21;;;Cauca;4.71392;-75.55638;2020;;;
Bosque;Mature_forest;OTQ22;;;Cauca;4.71321;-75.55523;2004;;;
Vegetación secundaria;Secondary_Growth;OTQ23;;;Cauca;4.71226;-75.55402;1995;;;
Vegetación secundaria;Secondary_Growth;OTQ24;;;Cauca;4.71163;-75.55244;2022;;;
Vegetación secundaria;Secondary_Growth;OTQ25;;;Cauca;4.71062;-75.5562;1991;;;
Bosque;Mature_forest;OTQ26;;;Cauca;4.70998;-75.55066;2026;;;
Vegetación secundaria;Secondary_Growth;OTQ27;;;Cauca;4.70953;-75.54947;2032;;;
Vegetación secundaria;Secondary_Growth;OTQ28;;;Cauca;4.70872;-75.54718;2043;;;
Vegetación secundaria;Secondary_Growth;OTQ29;;;Cauca;4.70814;-75.54658;2036;;;
Bosque;Mature_forest;OTQ3;;;Cauca;4.72784;-75.57471;1896;;;
Bosque;Mature_forest;OTQ30;;;Cauca;4.70748;-75.54523;2052;;;
Vegetación secundaria;Secondary_Growth;OTQ31;;;Cauca;4.70697;-75.54409;2065;;;
Vegetación secundaria;Secondary_Growth;OTQ32;;;Cauca;4.70651;-75.54259;2082;;;
Vegetación secundaria;Secondary_Growth;OTQ33;;;Cauca;4.70615;-75.54166;2098;;;
Vegetación secundaria;Secondary_Growth;OTQ34;;;Cauca;4.70554;-75.53995;2106;;;
Bosque;Mature_forest;OTQ35;;;Cauca;4.70517;-75.53935;2120;;;
Vegetación secundaria;Secondary_Growth;OTQ36;;;Cauca;4.70432;-75.53789;2110;;;
Bosque;Mature_forest;OTQ37;;;Cauca;4.72935;-75.57828;1878;;;
Bosque;Mature_forest;OTQ38;;;Cauca;4.72812;-75.57793;1893;;;
Vegetación secundaria;Secondary_Growth;OTQ39;;;Cauca;4.7298;-75.57944;1878;;;
Bosque;Mature_forest;OTQ4;;;Cauca;4.72718;-75.57358;1910;;;
Bosque;Mature_forest;OTQ40;;;Cauca;4.73031;-75.58076;1851;;;
Vegetación secundaria;Secondary_Growth;OTQ41;;;Cauca;4.73033;-75.57906;1867;;;
Vegetación secundaria;Secondary_Growth;OTQ42;;;Cauca;4.73116;-75.58189;1864;;;
Vegetación secundaria;Secondary_Growth;OTQ43;;;Cauca;4.73172;-75.58343;1850;;;
Bosque;Forest_fragment/Riparian_strip;OTQ44;;;Cauca;4.73293;-75.58639;1830;;;
Vegetación secundaria;Secondary_Growth;OTQ45;;;Cauca;4.73454;-75.58926;1825;;;
Vegetación secundaria;Secondary_Growth;OTQ46;;;Cauca;4.73531;-75.59;1826;;;
Vegetación secundaria;Secondary_Growth;OTQ47;;;Cauca;4.73635;-75.59069;1833;;;
Bosque;Mature_forest;OTQ48;;;Cauca;4.73752;-75.59152;1826;;;
Vegetación secundaria;Secondary_Growth;OTQ49;;;Cauca;4.73665;-75.59225;1821;;;
Bosque;Mature_forest;OTQ5;;;Cauca;4.72691;-75.57275;1896;;;
Bosque;Mature_forest;OTQ50;;;Cauca;4.73932;-75.59288;1815;;;
Vegetación secundaria;Secondary_Growth;OTQ51;;;Cauca;4.73974;-75.59383;1821;;;
Bosque;Mature_forest;OTQ52;;;Cauca;4.7405;-75.59549;1805;;;
Vegetación secundaria;Secondary_Growth;OTQ53;;;Cauca;4.74117;-75.59665;1784;;;
Bosque;Mature_forest;OTQ54;;;Cauca;4.74187;-75.59815;1773;;;
Vegetación secundaria;Secondary_Growth;OTQ55;;;Cauca;4.7432;-75.60141;1759;;;
Bosque;Forest_fragment/Riparian_strip;OTQ56;;;Cauca;4.74405;-75.60336;1738;;;
Vegetación secundaria;Secondary_Growth;OTQ57;;;Cauca;4.74497;-75.60394;1738;;;
Vegetación secundaria;Secondary_Growth;OTQ58;;;Cauca;4.74896;-75.60332;1728;;;
Vegetación secundaria;Secondary_Growth;OTQ59;;;Cauca;4.74808;-75.60403;1727;;;
Bosque;Mature_forest;OTQ6;;;Cauca;4.72608;-75.57153;1922;;;
Bosque;Forest_fragment/Riparian_strip;OTQ60;;;Cauca;4.75052;-75.60396;1737;;;
Vegetación secundaria;Secondary_Growth;OTQ61;;;Cauca;4.73041;-75.57805;1903;;;
Bosque;Mature_forest;OTQ62;;;Cauca;4.73085;-75.57966;1853;;;
Bosque;Mature_forest;OTQ7;;;Cauca;4.72492;-75.5701;1924;;;
Bosque;Mature_forest;OTQ8;;;Cauca;4.72419;-75.56916;1932;;;
Bosque;Mature_forest;OTQ9;;;Cauca;4.72361;-75.55681;1935;;;
Bosque;Mature_forest;ROM1;;;Cauca;6.1272;-75.60042;1044;;;
Vegetación secundaria;Secondary_Growth;ROM10;;;Cauca;6.12215;-75.59995;2083;;;
Vegetación secundaria;Secondary_Growth;ROM11;;;Cauca;6.12208;-75.59846;2114;;;
Vegetación secundaria;Secondary_Growth;ROM12;;;Cauca;6.12236;-75.59737;2132;;;
Vegetación secundaria;Secondary_Growth;ROM13;;;Cauca;6.12104;-75.59668;2178;;;
Cerca viva;Live_Fence/Pasture;ROM14;;;Cauca;6.12018;-75.59773;2200;;;
Vegetación secundaria;Secondary_Growth;ROM15;;;Cauca;6.11939;-75.59689;2220;;;
Vegetación secundaria;Secondary_Growth;ROM16;;;Cauca;6.11882;-75.59814;2210;;;
Vegetación secundaria;Secondary_Growth;ROM17;;;Cauca;6.11964;-75.59592;2242;;;
Vegetación secundaria;Secondary_Growth;ROM18;;;Cauca;6.11771;-75.5985;2216;;;
Vegetación secundaria;Secondary_Growth;ROM19;;;Cauca;6.11865;-75.59479;2238;;;
Bosque;Mature_forest;ROM2;;;Cauca;6.12669;-75.60105;1940;;;
Vegetación secundaria;Secondary_Growth;ROM20;;;Cauca;6.11691;-75.59901;2231;;;
Bosque;Mature_forest;ROM22;;;Cauca;6.11584;-75.59973;2249;;;
Vegetación secundaria;Secondary_Growth;ROM24;;;Cauca;6.11603;-75.60067;2226;;;
Vegetación secundaria;Secondary_Growth;ROM26;;;Cauca;6.11607;-75.60215;2239;;;
Vegetación secundaria;Secondary_Growth;ROM28;;;Cauca;6.11616;-75.60342;2250;;;
Bosque;Mature_forest;ROM3;;;Cauca;6.12629;-75.60096;1919;;;
Vegetación secundaria;Secondary_Growth;ROM4;;;Cauca;6.12626;-75.6027;1930;;;
Vegetación secundaria;Secondary_Growth;ROM5;;;Cauca;6.12469;-75.60207;1953;;;
Bosque;Mature_forest;ROM6;;;Cauca;6.12393;-75.60241;1961;;;
Vegetación secundaria;Secondary_Growth;ROM7;;;Cauca;6.12264;-75.60258;1991;;;
Bosque;Mature_forest;ROM8;;;Cauca;6.12239;-75.60265;2025;;;
Vegetación secundaria;Secondary_Growth;ROM9;;;Cauca;6.12328;-75.60114;2048;;;
Café;Sun_coffee;ROS1;;;Cauca;5.03378;-75.57013;1271;;;
Café;Sun_coffee;ROS10;;;Cauca;5.03716;-75.57127;1386;;;
Café;Sun_coffee;ROS11;;;Cauca;5.03675;-75.57116;1368;;;
Café;Sun_coffee;ROS12;;;Cauca;5.03613;-75.57122;1351;;;
Café;Sun_coffee;ROS13;;;Cauca;5.03632;-75.57166;1376;;;
Café;Sun_coffee;ROS14;;;Cauca;5.03551;-75.57105;1326;;;
Café;Sun_coffee;ROS15;;;Cauca;5.0348;-75.57083;1306;;;
Café;Sun_coffee;ROS16;;;Cauca;5.03431;-75.57095;1298;;;
Café;Sun_coffee;ROS17;;;Cauca;5.03436;-75.57149;1310;;;
Café;Sun_coffee;ROS18;;;Cauca;5.03393;-75.57133;1293;;;
Bosque;Forest_fragment/Riparian_strip;ROS2;;;Cauca;5.03482;-75.56939;1285;;;
Café;Sun_coffee;ROS3;;;Cauca;5.03546;-75.5697;1298;;;
Café;Sun_coffee;ROS4;;;Cauca;5.03609;-75.56975;1313;;;
Café;Sun_coffee;ROS5;;;Cauca;5.03674;-75.56994;1333;;;
Café;Sun_coffee;ROS6;;;Cauca;5.0373;-75.57001;1354;;;
Café;Sun_coffee;ROS7;;;Cauca;5.03791;-75.56995;1381;;;
Café;Sun_coffee;ROS8;;;Cauca;5.03831;-75.57061;1396;;;
Café;Sun_coffee;ROS9;;;Cauca;5.03781;-75.57092;1392;;;
Bosque;Mature_forest;TIN1;;;Cauca;5.06508;-75.59203;1217;;;
Vegetación secundaria;Secondary_Growth;TIN10;;;Cauca;5.06422;-75.5905;1197;;;
Bosque;Mature_forest;TIN11;;;Cauca;5.06428;-75.592;1216;;;
Bosque;Mature_forest;TIN12;;;Cauca;5.06408;-75.59203;1209;;;
Vegetación secundaria;Secondary_Growth;TIN13;;;Cauca;5.06451;-75.5927;1218;;;
Café;Shade_coffee;TIN14;;;Cauca;5.06571;-75.59028;1271;;;
